customer_id,first_name,last_name,email,phone_number,gender,dob,age,city,state,country,signup_date,is_active,customer_tier
63,Evelina,Blackie,eblackie1q@prnewswire.com,492-172-8111,Female,11/20/2024,40,Sabang,,Philippines,4/28/2024,false,Bronze
64,Leonard,Everiss,leveriss1r@ft.com,576-650-4028,Other,11/14/2024,52,Sarbīsheh,,Iran,1/8/2024,true,Bronze
65,Uriel,Menicomb,umenicomb1s@t-online.de,350-761-4561,Other,8/28/2024,32,Qızılhacılı,,Azerbaijan,5/12/2024,true,Silver
66,Cristobal,Sandaver,csandaver1t@jimdo.com,942-256-7077,Male,7/25/2024,74,Dubu,,China,6/27/2024,true,Gold
67,Maure,Solway,msolway1u@reuters.com,785-508-4961,Other,11/24/2024,33,Hodošan,,Croatia,5/11/2024,true,Gold
68,Casandra,Creyke,ccreyke1v@cdbaby.com,531-524-9397,Male,5/6/2024,75,Huaiyuan Chengguanzhen,,China,5/8/2024,false,Gold
69,Mildrid,Darbyshire,mdarbyshire1w@usa.gov,128-470-5290,Other,9/29/2024,71,Solikamsk,,Russia,10/15/2024,false,Silver
70,Dacey,Truesdale,dtruesdale1x@pbs.org,562-345-1094,Female,4/9/2024,55,Peruíbe,,Brazil,11/30/2024,true,Silver
71,Dean,Bowry,dbowry1y@rakuten.co.jp,622-224-2290,Other,9/19/2024,50,Depok,,Indonesia,7/16/2024,true,Bronze
72,Pembroke,Drewes,pdrewes1z@networksolutions.com,695-152-7616,Male,3/28/2024,45,Hewa,,Indonesia,4/29/2024,false,Silver
73,Carlie,Halladey,challadey20@constantcontact.com,403-571-6500,Male,12/7/2024,61,Shūkat aş Şūfī,,Palestinian Territory,11/24/2024,false,Gold
74,Cyndia,Kinforth,ckinforth21@jimdo.com,458-679-5134,Male,12/17/2023,91,Revelstoke,British Columbia,Canada,7/13/2024,false,Bronze
75,Vivianne,Somersett,vsomersett22@de.vu,294-211-9850,Male,10/19/2024,87,Pita,,Guinea,2/5/2024,false,Silver
76,Stu,Pain,spain23@mozilla.org,713-272-2673,Male,4/14/2024,82,Pudasjärvi,,Finland,7/9/2024,false,Bronze
77,Enrique,Dyerson,edyerson24@economist.com,318-214-9892,Other,3/22/2024,48,Charxin,,Uzbekistan,9/15/2024,true,Silver
78,Randie,Mewhirter,rmewhirter25@behance.net,421-167-5923,Other,8/11/2024,85,Ipoh,Perak,Malaysia,8/3/2024,true,Bronze
79,Samuel,Dagger,sdagger26@amazon.com,410-436-9562,Other,9/18/2024,39,Sumberkenanga,,Indonesia,2/9/2024,false,Silver
80,Penelopa,Letchmore,pletchmore27@elpais.com,194-373-8736,Other,1/24/2024,42,Libertad,Sonora,Mexico,6/23/2024,true,Bronze
81,Ali,Kalberer,akalberer28@apple.com,697-640-5232,Male,11/30/2024,89,Qingfenglin,,China,1/24/2024,true,Bronze
82,Amil,Selland,aselland29@wikia.com,208-521-0705,Other,10/7/2024,93,Boise,Idaho,United States,1/6/2024,false,Silver
83,Cyndi,Jindrich,cjindrich2a@delicious.com,976-978-6053,Female,8/14/2024,21,Trzebinia,,Poland,7/23/2024,true,Silver
84,Christiano,Keher,ckeher2b@theglobeandmail.com,694-559-4379,Male,10/4/2024,100,Shums’k,,Ukraine,10/25/2024,true,Bronze
85,Charley,Mowsdill,cmowsdill2c@scribd.com,536-428-0052,Male,6/10/2024,58,Kahama,,Tanzania,11/2/2024,false,Silver
86,Shanna,Webland,swebland2d@amazon.co.uk,742-555-3277,Male,2/1/2024,57,Moscow,,Russia,3/24/2024,false,Silver
87,Yorke,Shakespear,yshakespear2e@360.cn,998-599-2188,Other,1/16/2024,32,Chupa,,Russia,2/26/2024,false,Gold
88,Maisey,Cristou,mcristou2f@rediff.com,249-353-9026,Male,1/7/2024,57,Wuhe Chengguanzhen,,China,9/29/2024,true,Gold
89,Reinaldos,Bouller,rbouller2g@digg.com,948-498-7482,Other,9/27/2024,26,Sidi Redouane,,Morocco,7/22/2024,true,Gold
90,Fey,Mollnar,fmollnar2h@dyndns.org,914-117-7727,Other,4/18/2024,43,Chipyela,,Malawi,1/5/2024,true,Gold
91,Sydel,O'Bruen,sobruen2i@vistaprint.com,983-484-0349,Male,2/8/2024,82,Cuauhtemoc,Chihuahua,Mexico,6/12/2024,true,Silver
92,Corey,Bracchi,cbracchi2j@printfriendly.com,403-458-4894,Other,12/5/2024,40,Tanglag,,China,8/7/2024,true,Silver
93,Whitby,South,wsouth2k@a8.net,815-864-6634,Other,10/31/2024,21,Caramay,,Philippines,6/11/2024,false,Silver
94,Elihu,Painter,epainter2l@economist.com,146-971-8763,Female,8/10/2024,42,Hancheng,,China,6/1/2024,true,Silver
95,Pedro,Casaroli,pcasaroli2m@scribd.com,554-372-6927,Other,4/27/2024,56,Lima Pampa,,Peru,5/1/2024,true,Gold
96,Ludvig,Abbets,labbets2n@xrea.com,937-994-1058,Other,2/5/2024,51,As Samawah,,Iraq,8/12/2024,false,Silver
97,Bryce,Drejer,bdrejer2o@behance.net,533-828-5675,Male,4/18/2024,78,Zhangzhishan,,China,10/22/2024,false,Silver
98,Marillin,Wrey,mwrey2p@dmoz.org,900-616-0609,Male,12/30/2023,91,Kampungtengah,,Indonesia,4/30/2024,false,Bronze
99,Shaw,Kenwright,skenwright2q@usnews.com,320-220-7074,Female,10/8/2024,38,Xianhe,,China,6/8/2024,true,Silver
100,Arlyn,Pirdy,apirdy2r@foxnews.com,459-856-3816,Female,8/4/2024,20,Sadao,,Thailand,8/20/2024,false,Gold
101,Elisabet,Tidbold,etidbold2s@people.com.cn,263-806-2499,Other,8/12/2024,79,Alak,,Indonesia,2/25/2024,true,Bronze
102,Leigh,Lealle,llealle2t@google.ru,255-772-0646,Female,12/20/2023,78,Zouila,,Tunisia,7/10/2024,true,Silver
103,Sherie,Kift,skift2u@blogtalkradio.com,706-120-2449,Male,12/30/2023,43,Columbus,Georgia,United States,11/28/2024,false,Bronze
104,Camey,Emmines,cemmines2v@eventbrite.com,966-871-4053,Female,10/2/2024,89,Portão,,Brazil,9/3/2024,true,Silver
105,Betteann,Longhirst,blonghirst2w@gnu.org,537-850-4761,Other,9/9/2024,21,Jingling,,China,1/13/2024,false,Gold
106,Luke,Screeton,lscreeton2x@newsvine.com,311-761-6101,Female,2/8/2024,91,Chilmāri,,Bangladesh,5/24/2024,false,Gold
107,Anders,D'Enrico,adenrico2y@parallels.com,710-439-8605,Female,2/5/2024,24,Roi Et,,Thailand,8/18/2024,true,Silver
108,Ursola,Willmetts,uwillmetts2z@dedecms.com,345-557-5162,Male,2/27/2024,84,Socota,,Peru,6/7/2024,true,Gold
109,Gibby,Orr,gorr30@so-net.ne.jp,399-408-8576,Female,12/28/2023,50,Vilyuchinsk,,Russia,4/6/2024,false,Gold
110,Phillis,Bemlott,pbemlott31@utexas.edu,314-617-6835,Male,5/13/2024,65,Khalīlābād,,Iran,5/13/2024,true,Gold
111,Stacey,Hambling,shambling32@cnbc.com,795-130-9920,Female,9/19/2024,80,Fortuna,,Costa Rica,1/29/2024,true,Gold
112,Dredi,Wallman,dwallman33@webnode.com,894-458-0759,Male,11/14/2024,85,Áno Liósia,,Greece,4/17/2024,false,Silver
113,Carolin,Reddle,creddle34@flavors.me,161-692-4458,Female,7/27/2024,37,Hezheng Chengguanzhen,,China,9/22/2024,false,Silver
114,Valaree,Parkey,vparkey35@aol.com,216-536-6122,Female,9/7/2024,51,Saint-Paul,Réunion,Reunion,5/25/2024,true,Gold
115,Cleve,de Marco,cdemarco36@eepurl.com,487-651-0188,Other,8/14/2024,84,Khelyulya,,Russia,3/20/2024,true,Gold
116,Caro,Izsak,cizsak37@prweb.com,931-504-8979,Other,2/9/2024,73,Ljungby,Kronoberg,Sweden,5/13/2024,false,Silver
117,Riley,Crome,rcrome38@deliciousdays.com,582-345-3310,Female,1/2/2024,69,Huata,,Peru,1/30/2024,true,Silver
118,Jenda,Landis,jlandis39@about.com,495-891-4646,Other,4/18/2024,59,Bayasgalant,,Mongolia,3/24/2024,false,Bronze
119,Rikki,Buffery,rbuffery3a@reddit.com,634-828-5794,Female,3/6/2024,99,Radišići,,Bosnia and Herzegovina,12/10/2023,true,Silver
120,Walliw,Cohani,wcohani3b@behance.net,637-190-3627,Male,4/17/2024,46,Liulin,,China,2/20/2024,false,Silver
121,Bobinette,Matchett,bmatchett3c@skyrock.com,261-525-1392,Other,12/23/2023,31,Rio Claro,,Trinidad and Tobago,10/28/2024,false,Bronze
122,Sidonnie,Birdwhistle,sbirdwhistle3d@msn.com,809-258-2020,Male,3/26/2024,46,Ad Dabbah,,Sudan,12/3/2024,false,Bronze
123,Earlie,Karlsson,ekarlsson3e@constantcontact.com,427-392-0556,Male,8/28/2024,65,Caldas da Rainha,Leiria,Portugal,11/7/2024,false,Gold
124,Lesly,Degoe,ldegoe3f@canalblog.com,410-779-4598,Male,9/12/2024,57,Helmsange,,Luxembourg,6/8/2024,true,Silver
125,Hillary,Cacacie,hcacacie3g@woothemes.com,909-222-7705,Female,8/8/2024,28,Dalar,,Armenia,2/5/2024,true,Silver
126,Brett,MacNeilage,bmacneilage3h@china.com.cn,580-611-2980,Female,6/26/2024,68,Kuluran,,Indonesia,10/31/2024,true,Bronze
127,Sherwood,Mackleden,smackleden3i@businessinsider.com,222-623-2961,Female,9/8/2024,65,Apoya,,Philippines,9/6/2024,true,Bronze
128,Dael,Astlet,dastlet3j@eepurl.com,247-551-6305,Male,6/15/2024,86,Jarānwāla,,Pakistan,5/4/2024,false,Bronze
129,Pegeen,Brodbin,pbrodbin3k@dedecms.com,431-887-4667,Male,11/3/2024,98,Port Hawkesbury,Nova Scotia,Canada,6/1/2024,true,Silver
130,Cassi,Kerby,ckerby3l@pcworld.com,407-138-0193,Male,5/28/2024,90,Yenakiyeve,,Ukraine,8/14/2024,true,Gold
131,Anatole,Antosik,aantosik3m@homestead.com,106-862-7491,Male,5/13/2024,37,Al Madān,,Yemen,6/21/2024,true,Gold
132,Dillie,Burman,dburman3n@vimeo.com,794-118-2675,Male,8/29/2024,73,Lingtou,,China,11/12/2024,true,Silver
133,Pavla,Sargent,psargent3o@google.com.br,368-815-6828,Female,8/14/2024,57,Miaoshi,,China,11/18/2024,false,Bronze
134,Hercule,Helks,hhelks3p@yandex.ru,162-496-7234,Other,1/15/2024,19,Salinas,,Ecuador,12/31/2023,true,Bronze
135,Hercules,Mobbs,hmobbs3q@state.gov,365-538-5514,Other,3/6/2024,28,Hayange,Lorraine,France,3/17/2024,false,Silver
136,Hervey,Bailes,hbailes3r@zimbio.com,962-171-8633,Other,11/10/2024,27,Charlemagne,Québec,Canada,5/12/2024,true,Bronze
137,Vonny,Freddi,vfreddi3s@behance.net,596-236-6632,Female,12/22/2023,69,Chennevières-sur-Marne,Île-de-France,France,4/13/2024,true,Gold
138,Kristofer,Peffer,kpeffer3t@rediff.com,405-750-2963,Other,4/25/2024,42,Aimadamodo,,Indonesia,8/29/2024,false,Gold
139,Ayn,Epinay,aepinay3u@stumbleupon.com,356-830-1093,Other,1/9/2024,76,Walahir,,Indonesia,9/14/2024,true,Silver
140,Vitoria,Cason,vcason3v@cyberchimps.com,995-174-5696,Other,6/8/2024,90,Xinhua,,China,5/10/2024,true,Gold
141,Rex,Low,rlow3w@privacy.gov.au,156-190-8507,Female,12/21/2023,75,Catamayo,,Ecuador,6/8/2024,true,Gold
142,Justis,Lindfors,jlindfors3x@reuters.com,221-820-0453,Male,11/1/2024,24,El Playón,,Colombia,6/9/2024,true,Gold
143,Hailee,Ryott,hryott3y@posterous.com,552-720-7609,Other,5/28/2024,33,Trelleborg,Skåne,Sweden,8/15/2024,true,Gold
144,Biron,Lambis,blambis3z@prnewswire.com,182-264-4399,Female,5/19/2024,70,Krasnoarmeysk,,Russia,6/14/2024,true,Gold
145,Vince,Gerhold,vgerhold40@earthlink.net,229-644-5122,Female,4/8/2024,94,Kangle,,China,9/9/2024,true,Silver
146,Curtis,Whatford,cwhatford41@mozilla.org,665-311-3020,Other,1/27/2024,28,Bagroy,,Philippines,11/15/2024,false,Bronze
147,Barrett,Blanking,bblanking42@bravesites.com,614-539-4317,Other,2/25/2024,95,Columbus,Ohio,United States,12/16/2023,false,Gold
148,Korey,Borg,kborg43@omniture.com,924-493-6656,Male,1/4/2024,100,Potok Złoty,,Poland,8/3/2024,false,Bronze
149,Nicolina,Hovington,nhovington44@friendfeed.com,622-585-3466,Female,10/4/2024,97,Karangtanjung,,Indonesia,4/30/2024,true,Silver
150,Grete,Camoys,gcamoys45@illinois.edu,928-577-2050,Female,5/1/2024,58,Binagadi,,Azerbaijan,11/5/2024,true,Silver
151,Quinn,Bowne,qbowne46@google.de,599-758-3612,Male,1/2/2024,58,Abonnema,,Nigeria,6/13/2024,false,Gold
152,Bruno,Antonescu,bantonescu47@wikipedia.org,398-650-9762,Other,2/13/2024,59,Viña del Mar,,Chile,12/11/2023,false,Gold
153,Dulcie,Leap,dleap48@sohu.com,621-105-1264,Other,11/14/2024,18,Staryy Sambor,,Ukraine,2/24/2024,true,Gold
154,Hall,Abotson,habotson49@imageshack.us,980-168-6929,Male,8/8/2024,42,Siasi,,Philippines,11/29/2024,true,Gold
155,Pepe,Iacomo,piacomo4a@discovery.com,699-838-4548,Female,5/9/2024,64,Jenggawah,,Indonesia,9/7/2024,false,Silver
156,Nester,Stiell,nstiell4b@loc.gov,865-140-4322,Other,4/26/2024,30,Ramón Castilla,,Peru,2/7/2024,false,Gold
157,Dougie,Seabrook,dseabrook4c@newsvine.com,373-529-6748,Female,4/19/2024,25,Hanušovice,,Czech Republic,3/21/2024,true,Silver
158,Jenni,Davidof,jdavidof4d@istockphoto.com,447-354-2610,Male,5/9/2024,20,Bassa,,Nigeria,2/1/2024,true,Bronze
159,Kele,Bengough,kbengough4e@twitter.com,163-626-3401,Male,8/20/2024,79,Motuo,,China,8/15/2024,false,Gold
160,Auria,Cain,acain4f@who.int,846-330-1359,Male,2/5/2024,70,Komorniki,,Poland,12/3/2024,false,Silver
161,Nata,Copcott,ncopcott4g@soundcloud.com,626-719-0977,Other,6/12/2024,29,Dukay,,Philippines,11/21/2024,true,Bronze
162,Sisile,Massard,smassard4h@ovh.net,772-488-8924,Female,12/5/2024,38,Nālūt,,Libya,1/13/2024,false,Bronze
163,Randene,Sturm,rsturm4i@trellian.com,691-961-4105,Female,2/2/2024,37,Ndewel,,Indonesia,7/4/2024,true,Silver
164,Broderick,Eastgate,beastgate4j@booking.com,711-463-0157,Female,12/13/2023,67,Kabalo,,Democratic Republic of the Congo,11/2/2024,true,Bronze
165,Hilda,Woolatt,hwoolatt4k@etsy.com,163-235-7853,Male,9/26/2024,95,Arnhem,Provincie Gelderland,Netherlands,6/19/2024,false,Silver
166,Caryn,Goulston,cgoulston4l@github.com,559-127-9540,Male,7/15/2024,83,Careva Ćuprija,,Bosnia and Herzegovina,1/24/2024,false,Gold
167,Maxy,Bolden,mbolden4m@forbes.com,806-273-2869,Other,8/30/2024,53,Fastovetskaya,,Russia,10/11/2024,true,Gold
168,Ches,Smiths,csmiths4n@biblegateway.com,217-267-1349,Male,3/19/2024,23,Springfield,Illinois,United States,6/28/2024,true,Bronze
169,Wayne,Muff,wmuff4o@latimes.com,690-477-7150,Female,6/12/2024,52,Herceg-Novi,,Montenegro,2/7/2024,true,Gold
170,Carr,Seage,cseage4p@paypal.com,799-958-5794,Female,5/12/2024,40,Shiyuan,,China,11/30/2024,true,Gold
171,Alexis,Tofanini,atofanini4q@free.fr,405-961-3821,Female,11/10/2024,81,Potou,,China,12/27/2023,false,Gold
172,Melisent,Adlard,madlard4r@dedecms.com,336-707-5100,Other,11/29/2024,67,Wodzierady,,Poland,2/13/2024,true,Silver
173,Giacobo,Knightly,gknightly4s@chron.com,743-389-2074,Male,8/16/2024,47,Pau,,Philippines,6/27/2024,true,Bronze
174,Clementia,Ramm,cramm4t@miibeian.gov.cn,786-190-1123,Male,1/29/2024,81,Corzuela,,Argentina,2/23/2024,false,Silver
175,Husain,Georgeson,hgeorgeson4u@sbwire.com,776-143-0214,Other,5/3/2024,72,Munka-Ljungby,Skåne,Sweden,11/3/2024,false,Gold
176,Neddy,Drance,ndrance4v@tumblr.com,220-791-9609,Male,1/30/2024,88,Dondo,,Mozambique,1/29/2024,true,Bronze
177,Paten,Lapree,plapree4w@usgs.gov,342-437-9708,Other,11/22/2024,70,Lourdes,,Philippines,10/3/2024,true,Bronze
178,Bartie,Fortune,bfortune4x@tinyurl.com,505-808-8594,Female,5/11/2024,61,Saidpur,,Bangladesh,4/30/2024,false,Gold
179,Howard,McWilliams,hmcwilliams4y@twitter.com,830-468-9517,Male,9/25/2024,97,Breu,,Peru,10/29/2024,true,Gold
180,Emmy,Whartonby,ewhartonby4z@army.mil,119-610-4975,Male,4/15/2024,45,Foz do Iguaçu,,Brazil,3/4/2024,false,Bronze
181,Carling,Hillitt,chillitt50@google.co.jp,696-220-8268,Female,9/14/2024,62,Karangtawar,,Indonesia,7/10/2024,false,Silver
182,Damien,Le Quesne,dlequesne51@adobe.com,963-381-9768,Other,4/21/2024,75,Bantul,,Indonesia,12/27/2023,false,Gold
183,Kathryn,Dentith,kdentith52@artisteer.com,996-111-4709,Male,2/22/2024,24,Érd,Pest,Hungary,10/16/2024,false,Silver
184,Viva,Beche,vbeche53@alibaba.com,427-131-2350,Female,5/1/2024,74,Cunén,,Guatemala,12/21/2023,false,Bronze
185,Tess,Swannick,tswannick54@nhs.uk,920-129-5184,Female,12/29/2023,42,Bonn,Nordrhein-Westfalen,Germany,6/10/2024,false,Bronze
186,Thaine,Simmgen,tsimmgen55@google.de,308-239-3143,Female,1/29/2024,90,Smolensk,,Russia,12/21/2023,false,Silver
187,Cathee,Skate,cskate56@cargocollective.com,463-836-1634,Other,8/29/2024,58,Madalum,,Philippines,2/5/2024,false,Gold
188,Clerc,Plomer,cplomer57@sakura.ne.jp,858-950-2550,Male,12/29/2023,45,Kuantan,Pahang,Malaysia,11/6/2024,true,Silver
189,Barrett,Donlon,bdonlon58@pagesperso-orange.fr,120-262-8128,Male,8/25/2024,18,Soledar,,Ukraine,2/27/2024,false,Gold
190,Lezlie,Highway,lhighway59@dyndns.org,931-465-1660,Female,5/26/2024,61,Hushan,,China,8/18/2024,true,Gold
191,Vaughn,Genty,vgenty5a@earthlink.net,297-960-5866,Male,6/21/2024,62,Kaliwates,,Indonesia,6/28/2024,false,Bronze
192,Sigismond,Filippazzo,sfilippazzo5b@ted.com,394-406-7620,Male,6/9/2024,62,Gubeikou,,China,8/17/2024,false,Bronze
193,Dallas,Leckie,dleckie5c@drupal.org,567-148-4841,Female,1/3/2024,79,Ciénaga,,Colombia,9/5/2024,false,Silver
194,Trstram,Peppard,tpeppard5d@printfriendly.com,959-389-4813,Male,8/4/2024,52,Yidu,,China,9/14/2024,false,Silver
195,Grannie,Kennham,gkennham5e@gmpg.org,202-997-8456,Male,9/2/2024,28,Cipari,,Indonesia,5/6/2024,false,Bronze
